"organisation_name"	"LAU_comb"	"organisation_latitude"	"organisation_longitude"	"year"	"sector"	"polygon_area"	"CoM_emis"	"EDGAR_emis"	"organisation_id"	"lau_population_2019_elab"	"population_adhesion"	"country_code.x"	"country_code.y"	"population"	"population2"	"population3"	"country"
"Bremen"	"DE4011000"	53.0789985656738	8.80375957489014	2017	"RCO"	324.469056416937	4774039.963	712979.8125	"11601"	"569352"	546451	"de"	"de"	546451	546451	546451	"de"
"Bremen"	"DE4011000"	53.0789985656738	8.80375957489014	2017	"TRO_noRES"	324.469056416937	1191969.811	400739.96875	"11601"	"569352"	546451	"de"	"de"	546451	546451	546451	"de"
"Bremen"	"DE4011000"	53.0789985656738	8.80375957489014	2019	"RCO"	324.469056416937	4435549.876	672469.5	"11601"	"569352"	546451	"de"	"de"	546451	546451	546451	"de"
"Bremen"	"DE4011000"	53.0789985656738	8.80375957489014	2019	"TRO_noRES"	324.469056416937	1159431.097	391921.40625	"11601"	"569352"	546451	"de"	"de"	546451	546451	546451	"de"
"Bremen"	"DE4011000"	53.0789985656738	8.80375957489014	2012	"RCO"	324.469056416937	4934125.807	738299.875	"11601"	"569352"	546451	"de"	"de"	546451	546451	546451	"de"
"Bremen"	"DE4011000"	53.0789985656738	8.80375957489014	2012	"TRO_noRES"	324.469056416937	8770552.363	365101.59375	"11601"	"569352"	546451	"de"	"de"	546451	546451	546451	"de"
"Düsseldorf"	"DE5111000"	51.2248992919922	6.77565002441406	2007	"TRO_noRES"	216.788510821362	1164870	352421.96875	"13477"	"619294"	597102	"de"	"de"	597102	597102	597102	"de"
"Düsseldorf"	"DE5111000"	51.2248992919922	6.77565002441406	2007	"RCO"	216.788510821362	922210	864371.1875	"13477"	"619294"	597102	"de"	"de"	597102	597102	597102	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2000	"RCO"	232.276530223823	1068457.889676	1128831.75	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2000	"TRO_noRES"	232.276530223823	1013315.40648	497562.90625	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2001	"RCO"	232.276530223823	1165417.3551269	1233903.875	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2001	"TRO_noRES"	232.276530223823	987131.47176	488778.34375	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2002	"RCO"	232.276530223823	1073047.909242	1161690.375	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2002	"TRO_noRES"	232.276530223823	976420.33308	484044.40625	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2003	"RCO"	232.276530223823	1068308.898689	1153060.75	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2003	"TRO_noRES"	232.276530223823	954762.8328	470395.75	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2004	"RCO"	232.276530223823	1017531.635866	1089823.125	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2004	"TRO_noRES"	232.276530223823	648601.22752	470649.8125	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2005	"TRO_noRES"	232.276530223823	928639.05084	456111.09375	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2005	"RCO"	232.276530223823	969639.033909	1070007.75	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2006	"RCO"	232.276530223823	1009033.849346	1127333.625	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2006	"TRO_noRES"	232.276530223823	509525.8325	464656.96875	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2007	"RCO"	232.276530223823	787461.885615	884541.1875	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2007	"TRO_noRES"	232.276530223823	880087.0212	453667.25	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2008	"TRO_noRES"	232.276530223823	528303.64644	446467.21875	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2008	"RCO"	232.276530223823	845404.372231	1019455	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2009	"RCO"	232.276530223823	800641.1502	953406.5625	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
"Duisburg"	"DE5112000"	51.4356002807617	6.76110982894897	2009	"TRO_noRES"	232.276530223823	547017.9624	441447.8125	"13040"	"498590"	492870	"de"	"de"	492870	492870	492870	"de"
